[2023.09.07 13:33:58 - error] [parser] Parser module E:/wondertrader/src/QuoteFactory/parsers/ParserInsight.dll loading failed
[2023.09.07 13:35:25 - debug] processing order data of 113537.SH
[2023.09.07 13:35:25 - debug] processing order data of 300450.SZ
[2023.09.07 13:35:25 - debug] processing order data of 113045.SH
[2023.09.07 13:35:25 - debug] processing order data of 002540.SZ
[2023.09.07 13:35:25 - debug] processing order data of 110091.SH
[2023.09.07 13:35:25 - debug] processing order data of 113063.SH
[2023.09.07 13:35:25 - debug] processing order data of 118005.SH
[2023.09.07 13:35:25 - debug] processing order data of 113045.SH
[2023.09.07 13:35:25 - debug] processing order data of 002540.SZ
[2023.09.07 13:35:25 - debug] processing transaction data of 110091.SH
[2023.09.07 13:35:25 - debug] processing order data of 113598.SH
[2023.09.07 13:35:25 - debug] processing order data of 113058.SH
[2023.09.07 13:35:25 - debug] processing order data of 113628.SH
[2023.09.07 13:35:25 - debug] processing order data of 113063.SH
[2023.09.07 13:35:25 - debug] processing order data of 113582.SH
[2023.09.07 13:35:25 - debug] processing order data of 113598.SH
[2023.09.07 13:35:25 - debug] processing order data of 113045.SH
[2023.09.07 13:35:25 - debug] processing transaction data of 113628.SH
[2023.09.07 13:35:25 - debug] processing order data of 113063.SH
[2023.09.07 13:35:25 - debug] processing order data of 113582.SH
[2023.09.07 13:35:25 - debug] processing order data of 113025.SH
[2023.09.07 13:35:25 - debug] processing order data of 113045.SH
[2023.09.07 13:35:25 - debug] processing order data of 002540.SZ
[2023.09.07 13:35:25 - debug] processing order data of 113063.SH
[2023.09.07 13:35:25 - debug] processing order data of 113582.SH
[2023.09.07 13:35:25 - debug] processing order data of 113582.SH
[2023.09.07 13:35:25 - debug] processing order data of 113045.SH
[2023.09.07 13:35:25 - debug] processing order data of 113045.SH
[2023.09.07 13:35:25 - debug] processing order data of 113063.SH
[2023.09.07 13:35:25 - debug] processing order data of 113025.SH
[2023.09.07 13:35:25 - debug] processing order data of 113582.SH
[2023.09.07 13:35:25 - debug] processing order data of 113628.SH
[2023.09.07 13:35:25 - debug] processing order data of 113045.SH
[2023.09.07 13:35:25 - debug] processing order data of 113063.SH
[2023.09.07 13:35:25 - debug] processing order data of 118021.SH
[2023.09.07 13:35:25 - debug] processing order data of 113582.SH
[2023.09.07 13:35:25 - debug] processing order data of 002540.SZ
[2023.09.07 13:35:25 - debug] processing order data of 113621.SH
[2023.09.07 13:35:25 - debug] processing order data of 110080.SH
[2023.09.07 13:35:25 - debug] processing transaction data of 002174.SZ
[2023.09.07 13:35:25 - debug] processing order data of 113661.SH
[2023.09.07 13:35:25 - debug] processing order data of 113628.SH
[2023.09.07 13:35:25 - debug] processing order data of 113621.SH
[2023.09.07 13:35:25 - debug] processing order data of 002832.SZ
[2023.09.07 13:35:25 - debug] processing order data of 118021.SH
[2023.09.07 13:35:25 - debug] processing order data of 113661.SH
[2023.09.07 13:35:25 - debug] processing order data of 118017.SH
[2023.09.07 13:35:25 - debug] processing order data of 113621.SH
[2023.09.07 13:35:25 - debug] processing order data of 113615.SH
[2023.09.07 13:35:25 - debug] processing order data of 113615.SH
[2023.09.07 13:35:25 - debug] code: 300501, date: 20230907, exchg: SZSE, type:stock...........
[2023.09.07 13:35:25 - debug] processing order data of 111007.SH
[2023.09.07 13:35:25 - debug] processing order data of 113621.SH
[2023.09.07 13:35:25 - debug] code: 603716, date: 20230907, exchg: SSE, type:stock...........
[2023.09.07 13:35:25 - debug] processing order data of 113615.SH
[2023.09.07 13:35:25 - debug] code: 300486, date: 20230907, exchg: SZSE, type:stock...........
[2023.09.07 13:35:25 - debug] processing order data of 127018.SZ
[2023.09.07 13:35:25 - debug] processing order data of 113578.SH
[2023.09.07 13:35:25 - debug] processing order data of 300450.SZ
[2023.09.07 13:35:25 - debug] processing transaction data of 113615.SH
[2023.09.07 13:35:25 - debug] code: 300497, date: 20230907, exchg: SZSE, type:stock...........
[2023.09.07 13:35:25 - debug] code: 300480, date: 20230907, exchg: SZSE, type:stock...........
[2023.09.07 13:35:25 - debug] processing order data of 113065.SH
[2023.09.07 13:35:25 - debug] processing order data of 300450.SZ
[2023.09.07 13:35:25 - debug] processing transaction data of 113615.SH
[2023.09.07 13:35:25 - debug] processing order data of 110091.SH
[2023.09.07 13:35:25 - debug] processing order data of 113628.SH
[2023.09.07 13:35:25 - debug] processing order data of 113578.SH
[2023.09.07 13:35:25 - debug] code: 300490, date: 20230907, exchg: SZSE, type:stock...........
[2023.09.07 13:35:25 - debug] processing transaction data of 113615.SH
[2023.09.07 13:35:25 - debug] processing order data of 113629.SH
[2023.09.07 13:35:25 - debug] processing order data of 113628.SH
[2023.09.07 13:35:25 - debug] processing order data of 113578.SH
[2023.09.07 13:35:25 - debug] processing order data of 110058.SH
[2023.09.07 13:35:25 - debug] processing order data of 113615.SH
[2023.09.07 13:35:25 - debug] processing transaction data of 110091.SH
[2023.09.07 13:35:25 - debug] processing transaction data of 113628.SH
[2023.09.07 13:35:25 - debug] processing order data of 113628.SH
[2023.09.07 13:35:25 - debug] processing transaction data of 113037.SH
[2023.09.07 13:35:25 - debug] processing order data of 113615.SH
[2023.09.07 13:35:25 - debug] code: 300556, date: 20230907, exchg: SZSE, type:stock...........
[2023.09.07 13:35:25 - debug] processing order data of 113065.SH
[2023.09.07 13:35:25 - debug] processing transaction data of 113628.SH
[2023.09.07 13:35:25 - debug] processing order data of 113037.SH
[2023.09.07 13:35:25 - debug] processing order data of 113615.SH
[2023.09.07 13:35:25 - debug] processing order data of 113661.SH
